avg_cost,cuisines,id,location,name,price_range,rating
1600,"Continental, North Indian, Italian, South Indian, Finger Food",58882,"Behind MK Retail, Sarjapur Road, Bangalore",Byg Brewski Brewing Company,3,4.9
1600,"European, Mediterranean, North Indian, BBQ",18148977,"100 Feet Road, 1st Phase, Near Jayadeva Flyover, 2nd Stage, BTM, Bangalore",AB's - Absolute Barbecues,3,4.9
1500,"Asian, Chinese, Thai, Momos",18221544,"136, Ground Floor, 1st Cross, 5th Block, Jyoti Niwas College Road, Koramangala 5th Block, Bangalore",Asia Kitchen By Mainland China,3,4.9
1200,"Pizza, Italian, European, Beverages",18603822,"2985, 12th Main, HAL 2nd Stage, Indiranagar, Bangalore",The Pizza Bakery,3,4.9
2000,"North Indian, Mughlai",18581089,"26/1, Dr Rajkumar Road, Brigade Gateway Campus, Malleshwaram Bangalore",Punjab Grill,4,4.9
1400,"American, Tex-Mex, Burger, BBQ, Mexican",53966,"2nd Floor, Orion Mall, Dr. Rajkumar Road, Malleshwaram, Bangalore",Chili's American Grill & Bar,3,4.9
2000,North Indian,18801352,"Ground Floor, Forum Shantiniketan, Whitefield Main Road, Hoodi, Whitefield, Bangalore",Punjab Grill,4,4.9
100,South Indian,58576,"1004, 26th Main, Next to HDFC Bank, 4th T Block, Jayanagar, Bangalore",Taaza Thindi,1,4.9
400,"Ice Cream, Desserts",61111,"460, 2nd Cross, Krishna Temple Road, Indiranagar, Bangalore",Milano Ice Cream,1,4.9
400,Desserts,18512406,"65, Markham Road, Ashok Nagar, Brigade Road, Bangalore",Belgian Waffle Factory ,1,4.9
400,Desserts,18848083,"13 KHB Colony, 17th Main, M.I.G, Koramangala 5th Block, Bangalore",Belgian Waffle Factory,1,4.9
1500,"North Indian, European, Mediterranean, BBQ",18387426,"20/7, Swamy Legato, Outer Ring Road, Kadubeesanahalli, Marathahalli, Bangalore",The Black Pearl,3,4.8
1600,"European, Mediterranean, North Indian, BBQ",56618,"90/4, 3rd Floor, Outer Ring Road, Munnekollaly Village, Marathahalli, Bangalore",AB's - Absolute Barbecues,3,4.8
1000,"Continental, Asian, North Indian",18323630,"122/B, Jyothi Nivas Road, 5th Block, Koramangala 5th Block, Bangalore",House Of Commons,3,4.8
